gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
ESPORTSTMNT02/1271091,LCS,Evil Geniuses,100 Thieves,Mordekaiser,LeeSin,Leblanc,Senna,TahmKench,Aatrox,Olaf,Ryze,Xayah,Rakan,1
ESPORTSTMNT03/1331442,CBLOL,Redemption eSports Porto Alegre,INTZ,Sett,Taliyah,Nautilus,MissFortune,Braum,Camille,RekSai,Zoe,Aphelios,Thresh,0
6300-7961,LDL,Joy Dream,Oh My Dream,Ornn,RekSai,TwistedFate,Ezreal,Nautilus,Sylas,Graves,Zoe,Kaisa,Yuumi,1
ESPORTSTMNT05/1440458,LEC,Fnatic,Origen,Ornn,LeeSin,Diana,Senna,Zilean,Gangplank,Olaf,Rumble,Ezreal,Yuumi,1
5989-7391,LPL,Rogue Warriors,Victory Five,Ornn,JarvanIV,Zoe,Aphelios,Volibear,Aatrox,Elise,Lucian,Senna,Pantheon,1
ESPORTSTMNT03/1333677,OPL,Pentanet.GG,ORDER,Soraka,JarvanIV,Syndra,Aphelios,Rakan,Sett,Karthus,Irelia,MissFortune,Thresh,0
6265-7842,LDL,LNG Academy,Young Miracles,Ornn,Graves,Syndra,Ezreal,Nautilus,Renekton,Nunu,Qiyana,Kalista,Leona,0
ESPORTSTMNT03/1352625,BRCC,Team oNe eSports,Intergalaxy Tigers Gaming,Maokai,Trundle,Azir,Syndra,Nautilus,Sylas,Elise,Talon,Kalista,Rakan,1
ESPORTSTMNT02/1332216,LCK,SANDBOX Gaming,DRX,Sylas,Gragas,Aatrox,Aphelios,Nautilus,Ornn,Trundle,Lucian,Ezreal,Yuumi,1
ESPORTSTMNT05/1400210,LEC,Rogue,SK Gaming,Aatrox,LeeSin,Ryze,Aphelios,Braum,Sett,Gragas,Viktor,Ezreal,TahmKench,1
ESPORTSTMNT01/1435174,LCK,SeolHaeOne Prince,SANDBOX Gaming,Volibear,Nidalee,Leblanc,Kaisa,Alistar,Kennen,Olaf,Sylas,Ezreal,Leona,0
6124-7712,LPL,Team WE,eStar,Renekton,Olaf,Galio,Aphelios,Nautilus,Ornn,LeeSin,Rumble,Varus,Sett,1
ESPORTSTMNT01/1380456,CBLOL,Team oNe eSports,INTZ,Renekton,Elise,Corki,Syndra,Nautilus,Mordekaiser,RekSai,Kassadin,MissFortune,Thresh,0
ESPORTSTMNT02/1334895,LCK,Hanwha Life Esports,Gen.G,Gangplank,Sejuani,Leblanc,Varus,Taric,Ornn,JarvanIV,Sylas,MissFortune,Bard,1
6701-8971,WCS,FunPlus Phoenix,Invictus Gaming,Renekton,Kindred,Galio,Ashe,Leona,Gnar,Graves,Neeko,Senna,Nautilus,0
6556-8858,LDL,Royal Club,Team WE Academy,Renekton,Volibear,Syndra,Ezreal,Bard,Jax,Olaf,Galio,Ashe,Lulu,0
6609-8398,LPL,Suning,Royal Never Give Up,Jayce,LeeSin,Syndra,Aphelios,TahmKench,Camille,Olaf,Galio,Ashe,Karma,1
ESPORTSTMNT05/1410249,TCL,Beşiktaş Esports,1907 Fenerbahçe Esports,Sett,Gragas,Camille,Swain,Taric,Mordekaiser,LeeSin,Leblanc,Aphelios,Braum,1
ESPORTSTMNT01/1431671,LCS.A,FlyQuest Academy,TSM Academy,Sett,Volibear,Leblanc,Ashe,TahmKench,Aatrox,Trundle,Orianna,Xayah,Rakan,1
6454-8506,LDL,Legend Esport Gaming,Joy Dream,Ornn,Graves,Ekko,Aphelios,Sett,Renekton,Volibear,Orianna,Ashe,Braum,0
ESPORTSTMNT03/1405870,VCS,Team Flash,Team Secret,Kennen,Trundle,Orianna,Aphelios,Nautilus,Renekton,Volibear,Syndra,Ashe,Braum,1
6604-8360,LPL,Team WE,LNG Esports,Ornn,Sett,Galio,Kalista,Thresh,Renekton,Volibear,TwistedFate,Ashe,TahmKench,0
ESPORTSTMNT02/1394809,PCS,Nova Esports,J Team,Renekton,Sett,Corki,Varus,Bard,Gangplank,Graves,Galio,Sivir,Nautilus,0
ESPORTSTMNT01/1424599,OPL,Chiefs Esports Club,Gravitas,Jayce,XinZhao,Karma,Kalista,Nautilus,Poppy,Nidalee,Akali,Vayne,Bard,1
ESPORTSTMNT01/1415629,PCS,PSG Talon,Liyab Esports,Renekton,LeeSin,Zoe,Aphelios,Senna,Aatrox,Trundle,Karma,Ezreal,Yuumi,1
ESPORTSTMNT05/1520560,LEC,Team Vitality,Misfits Gaming,Volibear,Trundle,Corki,Aphelios,TahmKench,Kayle,LeeSin,Azir,Ezreal,Leona,0
ESPORTSTMNT05/1440391,TRA,Beşiktaş Academy,1907 Fenerbahçe Academy,Vladimir,LeeSin,Sylas,MissFortune,Morgana,Ornn,JarvanIV,Zoe,Senna,Taric,1
6511-8712,LDL,V5 87,Top Esports Challenger,Camille,Volibear,Neeko,Ezreal,Bard,Sylas,Graves,Talon,Ashe,Nautilus,1
ESPORTSTMNT06/1320660,EM,Samsung Morning Stars,FC Schalke 04 Evolution,Sett,Lillia,Lucian,Jinx,Lulu,Renekton,Khazix,Cassiopeia,Ezreal,Leona,0
ESPORTSTMNT02/1331409,LLA,Pixel Esports Club,Furious Gaming,MonkeyKing,Sejuani,Ziggs,Ezreal,Karma,Sett,Trundle,Zoe,Varus,TahmKench,1
ESPORTSTMNT03/1351053,PCS,ahq eSports Club,Talon Esports,Aatrox,Olaf,Galio,MissFortune,Nautilus,Renekton,Trundle,Syndra,Xayah,Rakan,0
ESPORTSTMNT05/1540097,LEC,Origen,MAD Lions,Quinn,RekSai,Syndra,Xayah,Rakan,Renekton,Hecarim,TwistedFate,Sona,Lux,0
6487-8617,LDL,JingNetGame,Bilibili Gaming Junior,Karma,LeeSin,Leblanc,Aphelios,Bard,Renekton,Trundle,Kassadin,Ashe,Nautilus,1
6265-7840,LDL,Young Miracles,LNG Academy,Ornn,Trundle,Leblanc,Aphelios,Leona,Renekton,Nidalee,Malzahar,Kalista,Thresh,1
ESPORTSTMNT04/1120915,LFL,IZI Dream,Solary,Sylas,LeeSin,Syndra,Ashe,Rumble,Ornn,RekSai,AurelionSol,Senna,Braum,0
6606-8373,LPL,eStar,Oh My God,Ornn,LeeSin,Syndra,Senna,Bard,Camille,Trundle,Ekko,Ashe,Braum,1
6508-8700,LDL,eStar Young,LNG Academy,Jax,Graves,TwistedFate,Caitlyn,Lux,Mordekaiser,Sett,Galio,Ashe,Nautilus,1
ESPORTSTMNT02/1415097,LCK,Afreeca Freecs,SANDBOX Gaming,Akali,Trundle,Syndra,Caitlyn,Lux,Sett,Volibear,Orianna,Senna,Nautilus,1
ESPORTSTMNT01/1323919,PCS,Machi Esports,Nova Esports,Sett,Elise,Azir,Aphelios,Blitzcrank,Irelia,Sejuani,Orianna,Senna,TahmKench,1
6324-8043,LDL,LinGan e-Sports,FunPlus Phoenix Blaze,Ornn,Trundle,Diana,Aphelios,Leona,Mordekaiser,LeeSin,Syndra,Kalista,Nautilus,0
ESPORTSTMNT04/1150190,LCL,Gambit Esports,CrowCrowd,Ornn,Sejuani,Yasuo,Kaisa,Nautilus,Sett,RekSai,Cassiopeia,Ezreal,Thresh,1
ESPORTSTMNT02/1294689,LCK,SANDBOX Gaming,DAMWON Gaming,Gnar,Trundle,Ornn,Ezreal,Braum,Sett,JarvanIV,Zoe,Kaisa,Rakan,1
6653-8709,LPL,Bilibili Gaming,Royal Never Give Up,Camille,Lillia,Akali,Caitlyn,Bard,Ornn,JarvanIV,Syndra,Ashe,Nautilus,1
ESPORTSTMNT01/1425291,CK,RunAway,Element Mystic,Renekton,LeeSin,Syndra,Aphelios,Bard,Neeko,Trundle,Lucian,Jinx,Thresh,1
6172-7776,LDL,Royal Club,Victorious Gaming,MonkeyKing,Sylas,Qiyana,MissFortune,Nautilus,Mordekaiser,Graves,Lissandra,Kaisa,Sett,1
ESPORTSTMNT02/1295138,CK,Jin Air Green Wings,Seorabeol Gaming,Sett,Sejuani,Irelia,Ezreal,Braum,Gangplank,Gragas,Ryze,MissFortune,Nautilus,0
6266-7839,LDL,Legend Esport Gaming,All Combo,MonkeyKing,Nidalee,Renekton,Varus,Karma,Mordekaiser,LeeSin,Neeko,Sivir,Thresh,1
ESPORTSTMNT02/1405341,VCS,GAM Esports,CERBERUS Esports,Renekton,Shyvana,Ryze,Jhin,Bard,MonkeyKing,Volibear,Leblanc,Ashe,Morgana,1
ESPORTSTMNT06/1180362,EM,Cyber Gaming,Electronik Generation,Ornn,Gragas,Akali,Kalista,Sett,Maokai,Zac,Leblanc,Varus,Braum,0
6583-8925,LDL,Oh My Dream,V5 87,MonkeyKing,Nidalee,Lucian,Sivir,Thresh,Irelia,Lillia,Pantheon,Ezreal,Bard,1
6442-8457,LDL,Shu Dai Xiong Gaming,Vici Gaming Potential,Ornn,Volibear,Zoe,Ezreal,Thresh,Gangplank,Graves,Fizz,Aphelios,Leona,0
6401-8323,LDL,V5 87,EDG Youth Team,Aatrox,Graves,Nunu,Ashe,TahmKench,MonkeyKing,Elise,Irelia,Jinx,Thresh,0
6578-8911,LDL,Dominus Esports Young,Joy Dream,Karma,Kindred,Galio,Caitlyn,Lux,Lucian,Karthus,Yasuo,Draven,Pyke,1
ESPORTSTMNT02/1393778,CK,ESC Shane,Element Mystic,Rumble,JarvanIV,Sett,MissFortune,Nautilus,Mordekaiser,Trundle,Varus,Ezreal,Thresh,0
ESPORTSTMNT03/1380702,OCS,Legacy Genesis,RMIT Redbacks,Poppy,LeeSin,Leblanc,MissFortune,Thresh,Mordekaiser,Sejuani,Tristana,Irelia,Leona,1
ESPORTSTMNT05/1520179,LCL,Vega Squadron,One Breath Gaming,Ornn,Trundle,Orianna,Aphelios,Thresh,Mordekaiser,Graves,Cassiopeia,Sivir,Karma,0
6222-7933,LPL,Dominus Esports,LGD Gaming,Aatrox,Trundle,Sylas,Ezreal,Yuumi,Ornn,Graves,Syndra,Aphelios,Leona,0
ESPORTSTMNT03/1342285,CBLOL,Flamengo Esports,Prodigy Esports,Renekton,Gragas,Cassiopeia,Aphelios,Yuumi,Kalista,Trundle,Leblanc,Senna,Volibear,0
6203-7814,LPL,Oh My God,Royal Never Give Up,Renekton,Trundle,Zoe,Aphelios,Braum,MonkeyKing,JarvanIV,TwistedFate,MissFortune,Nautilus,0
ESPORTSTMNT06/1170139,TCL,Team AURORA,Galakticos,Aatrox,Karthus,Ornn,MissFortune,Nautilus,Sett,Sejuani,Azir,Aphelios,Braum,0
ESPORTSTMNT04/1150169,LCL,Vega Squadron,Dragon Army,Ornn,RekSai,Zoe,Kaisa,Braum,Sett,Trundle,Leblanc,MissFortune,Nautilus,0
ESPORTSTMNT05/1540037,TRA,Team AURORA Academy,5 Ronin Academy,MonkeyKing,Sett,Ryze,Jhin,Nautilus,Aatrox,Volibear,Galio,Ezreal,Morgana,1
6167-7763,LDL,All Combo,WanZhen Esports Club,Gnar,Olaf,Leblanc,Varus,Nautilus,Ornn,Graves,Syndra,MissFortune,Thresh,0
6253-8168,LPL,LGD Gaming,Suning,Volibear,LeeSin,Orianna,Aphelios,Nautilus,Jayce,Trundle,Azir,Ezreal,Leona,0
6237-8040,LPL,LGD Gaming,Invictus Gaming,Renekton,Nidalee,Galio,Aphelios,Nautilus,Quinn,Trundle,Zoe,Ezreal,Bard,1
ESPORTSTMNT06/1170829,LCS.A,Golden Guardians Academy,Immortals Academy,Sett,Gragas,Qiyana,MissFortune,Nautilus,Aatrox,RekSai,Zoe,Xayah,Rakan,0
ESPORTSTMNT01/1304282,CBLOL,Flamengo Esports,Redemption eSports Porto Alegre,Aatrox,Elise,Mordekaiser,Xayah,Thresh,Renekton,Gragas,Yasuo,Varus,Galio,1
6397-8300,LDL,eStar Young,Legend Esport Gaming,Jayce,Nidalee,Sett,Kalista,Leona,Aatrox,Graves,Lissandra,Aphelios,Nautilus,1
ESPORTSTMNT02/1385241,LCK,T1,SANDBOX Gaming,Kennen,Trundle,Azir,Kalista,Rakan,Lucian,Gragas,Irelia,Syndra,Sett,1
6658-8746,LPL,Top Esports,Team WE,Jax,JarvanIV,Orianna,Caitlyn,Lux,Volibear,Graves,Karma,Ashe,Thresh,1
ESPORTSTMNT02/1386473,LCK,SeolHaeOne Prince,DRX,Aatrox,RekSai,Sylas,Varus,Thresh,Camille,LeeSin,Corki,Ezreal,Leona,0
ESPORTSTMNT03/1401080,OCS,QUT Tigers,UQ Union,Ornn,Shaco,Karma,Xayah,Rakan,Vladimir,Graves,Orianna,Varus,Thresh,1
ESPORTSTMNT02/1394364,CK,Awesome Spear,OZ Gaming,Aatrox,Graves,Syndra,Aphelios,Thresh,Camille,Trundle,Galio,Ezreal,Blitzcrank,0
ESPORTSTMNT04/1130153,TCL,Royal Youth,Papara SuperMassive,Ornn,JarvanIV,Cassiopeia,Aphelios,Nautilus,Aatrox,Sejuani,Rumble,Varus,Leona,0
ESPORTSTMNT01/1304217,LJL,Crest Gaming Act,Rascal Jester,Aatrox,Elise,Qiyana,Aphelios,Thresh,Sett,JarvanIV,Soraka,Ashe,Nautilus,0
ESPORTSTMNT05/1530153,TCL,İstanbul Wildcats,Galatasaray Esports,MonkeyKing,Trundle,Azir,Ezreal,Braum,Jayce,Graves,Orianna,Cassiopeia,Veigar,1
ESPORTSTMNT06/1230009,EM,K1ck Neosurf,GamersOrigin,Renekton,Elise,Azir,Aphelios,Nautilus,Maokai,Trundle,Zoe,MissFortune,Sett,0
ESPORTSTMNT02/1286996,PCS,ahq eSports Club,J Team,Renekton,RekSai,Zoe,MissFortune,Leona,Gangplank,Sejuani,Sylas,Kalista,Thresh,1
ESPORTSTMNT04/1140077,TRA,Galakticos Academy,1907 Fenerbahçe Academy,Aatrox,Elise,Orianna,Aphelios,Nautilus,Sett,JarvanIV,Rumble,MissFortune,Thresh,0
ESPORTSTMNT01/1323219,LCS.A,Team Liquid Academy,Evil Geniuses Academy,Sett,Taliyah,Irelia,Kalista,Thresh,Ornn,Elise,Renekton,MissFortune,Nautilus,0
ESPORTSTMNT04/1230415,TRA,Dark Passage Academy,Beşiktaş Academy,Aatrox,Graves,Syndra,Kalista,Nautilus,Ornn,Trundle,Velkoz,Ezreal,Yuumi,1
6658-8748,LPL,Team WE,Top Esports,Renekton,Olaf,Orianna,Ashe,Karma,Jayce,Volibear,Ekko,Caitlyn,Lux,1
ESPORTSTMNT02/1296215,LCK,Afreeca Freecs,Gen.G,Akali,Olaf,Zoe,MissFortune,Taric,Gangplank,JarvanIV,Leblanc,Senna,TahmKench,0
ESPORTSTMNT01/1315583,VCS,GAM Esports,Team Secret,Irelia,LeeSin,Leblanc,Aphelios,Yuumi,Jayce,Sejuani,Neeko,Ezreal,Bard,1
ESPORTSTMNT03/1413662,LCS.A,Team Liquid Academy,CLG Academy,Kennen,Volibear,Irelia,Aphelios,Braum,Jayce,LeeSin,Orianna,MissFortune,Rakan,1
6228-7981,LPL,LNG Esports,eStar,Kayle,Olaf,Leblanc,Aphelios,Thresh,Ornn,Graves,Galio,Ashe,TahmKench,0
ESPORTSTMNT02/1403228,OCS,QUT Tigers,Pentanet.GG Rise,Volibear,Nidalee,Karma,Senna,Shen,Maokai,Khazix,Viktor,Xayah,Rakan,0
ESPORTSTMNT01/1360837,LLA,Isurus,All Knights,Ornn,Gragas,Tristana,Varus,Thresh,Aatrox,JarvanIV,Azir,MissFortune,Nautilus,0
ESPORTSTMNT03/1401751,VCS,Team Secret,Percent Esports,MonkeyKing,Volibear,Sylas,Ashe,Braum,Malphite,JarvanIV,Orianna,Aphelios,Thresh,1
ESPORTSTMNT06/1320892,LEC,Rogue,G2 Esports,Gangplank,Hecarim,Akali,Senna,Braum,Sion,Volibear,Syndra,Ashe,Taric,0
ESPORTSTMNT03/1334645,LCS,Dignitas,100 Thieves,Aatrox,LeeSin,Zoe,Aphelios,TahmKench,Renekton,Trundle,Syndra,MissFortune,Nautilus,0
ESPORTSTMNT01/1323934,LJL,Crest Gaming Act,Rascal Jester,Aatrox,Sejuani,Sylas,Kaisa,Sett,Karma,JarvanIV,Kassadin,Aphelios,Nautilus,1
ESPORTSTMNT02/1292653,LCK,Hanwha Life Esports,Gen.G,Mordekaiser,LeeSin,Cassiopeia,Aphelios,Taric,Ornn,RekSai,Azir,MissFortune,Sett,0
6471-8571,LDL,Rogue Warriors Shark,Shu Dai Xiong Gaming,Ornn,Ekko,Sett,Kaisa,Nautilus,Mordekaiser,Olaf,Azir,Kalista,Thresh,0
ESPORTSTMNT01/1435218,VCS,OverPower Esports,GAM Esports,Renekton,LeeSin,Ryze,Ezreal,Thresh,Karma,Graves,Sylas,Ashe,Pantheon,1
6594-8285,LPL,Vici Gaming,FunPlus Phoenix,Renekton,Trundle,Leblanc,Aphelios,Shen,Volibear,Graves,Galio,Ashe,Leona,1
5953-7308,LPL,JD Gaming,FunPlus Phoenix,Renekton,Kindred,Karma,Aphelios,Rakan,Aatrox,Gragas,Sylas,MissFortune,Leona,0
ESPORTSTMNT05/1410715,LEC,MAD Lions,Misfits Gaming,Gangplank,LeeSin,Ryze,MissFortune,Rakan,Sett,Sejuani,Azir,Aphelios,Braum,0
ESPORTSTMNT06/1310248,EM,Team GamerLegion,eSuba,Quinn,Volibear,Cassiopeia,Jhin,Thresh,Renekton,Sett,Leblanc,Ashe,TahmKench,1
ESPORTSTMNT06/1320233,EM,Iron Wolves,Sector One,Sett,Volibear,Leblanc,Xayah,Rakan,Sion,Nidalee,Ryze,Lucian,Thresh,0
ESPORTSTMNT01/1296707,LCK,Gen.G,T1,Akali,JarvanIV,Zoe,Xayah,Rakan,Kled,Diana,Orianna,MissFortune,Morgana,1
6600-8337,LPL,LGD Gaming,Oh My God,Volibear,RekSai,Sylas,Kaisa,Nautilus,Jax,LeeSin,Orianna,Sivir,Thresh,1
ESPORTSTMNT03/1413907,VCS,Team Flash,GAM Esports,Volibear,Nidalee,Orianna,Kaisa,Pantheon,Jax,Trundle,Sylas,Ashe,Sett,1
ESPORTSTMNT03/1401956,CBLOL,Prodigy Esports,FURIA Esports,Jayce,Trundle,Akali,Senna,Maokai,MonkeyKing,Nidalee,Azir,Ashe,Karma,1
6159-7734,LDL,Dominus Esports Young,Invictus Gaming Young,Ornn,Sylas,Pantheon,Kalista,Nautilus,Renekton,RekSai,Zoe,Varus,Thresh,1
ESPORTSTMNT02/1333791,LCK,Hanwha Life Esports,Afreeca Freecs,Gnar,Gragas,Zoe,Kalista,Taric,Sett,Trundle,Leblanc,Varus,Braum,1
ESPORTSTMNT03/1323049,LCK,Afreeca Freecs,T1,Akali,Elise,Sett,Kalista,Taric,Karma,Olaf,Orianna,MissFortune,Nautilus,0
6250-8149,LPL,Bilibili Gaming,LNG Esports,Volibear,Trundle,Zoe,Ezreal,Leona,Renekton,Gragas,Syndra,Aphelios,Thresh,1
ESPORTSTMNT03/1351811,LCK,Griffin,Hanwha Life Esports,Vladimir,Sett,Corki,Varus,TahmKench,Gnar,Trundle,Zoe,Senna,Maokai,1
ESPORTSTMNT03/1414303,CBLOL,Vivo Keyd,paiN Gaming,Ornn,Graves,Syndra,Xayah,Rakan,Sett,Trundle,TwistedFate,Kaisa,Leona,1
ESPORTSTMNT02/1334423,LFL,GamersOrigin,Misfits Premier,Renekton,Karthus,Zoe,Kalista,Blitzcrank,Sett,Gragas,Talon,MissFortune,Thresh,1
ESPORTSTMNT03/1350888,CBLOL,INTZ,Flamengo Esports,Sylas,Gragas,Tristana,Aphelios,Trundle,Ornn,Kindred,Cassiopeia,MissFortune,Nautilus,0
ESPORTSTMNT01/1403768,LCS.A,CLG Academy,Immortals Academy,Ornn,JarvanIV,Galio,Xayah,Rakan,Aatrox,Trundle,Corki,Ezreal,Yuumi,0
ESPORTSTMNT06/1320638,EM,Movistar Riders,Team GamerLegion,Shen,Graves,Leblanc,Jinx,Thresh,Sett,Kindred,Sylas,Jhin,Morgana,1
6406-8333,LDL,Oh My Dream,LinGan e-Sports,Camille,Trundle,Rumble,Aphelios,Sett,Volibear,Nidalee,Leblanc,Ashe,Taric,1
ESPORTSTMNT04/1120583,TRA,Dark Passage Academy,Galakticos Academy,Fiora,JarvanIV,Ryze,MissFortune,Leona,Ornn,LeeSin,Orianna,Aphelios,Braum,1
6702-8987,WCS,LGD Gaming,Invictus Gaming,Ornn,Graves,Kassadin,Ezreal,Leona,Vladimir,JarvanIV,Zoe,Jhin,Nautilus,1
ESPORTSTMNT01/1320561,LFL,GamersOrigin,Vitality.Bee,Ornn,Karthus,Leblanc,Aphelios,Rakan,Aatrox,Gragas,Galio,Ezreal,Taric,0
6128-7767,LPL,Top Esports,Invictus Gaming,Aatrox,LeeSin,Syndra,Ezreal,Leona,Kennen,Trundle,Leblanc,Caitlyn,Karma,1
ESPORTSTMNT01/1380140,BRCC,Falkol,Santos e-Sports,Jayce,Karthus,Syndra,Aphelios,Braum,Aatrox,Trundle,Viktor,Ashe,Nautilus,0
ESPORTSTMNT05/1410116,LEC,Origen,MAD Lions,Gangplank,Karthus,Ornn,Aphelios,Leona,Chogath,RekSai,Leblanc,Ezreal,Yuumi,1
ESPORTSTMNT06/1170687,TCL,Galakticos,5 Ronin,Ornn,JarvanIV,Diana,MissFortune,Taric,Aatrox,Gragas,Azir,Senna,TahmKench,1
6003-7425,LPL,Oh My God,FunPlus Phoenix,Sett,Sejuani,Kled,MissFortune,Leona,Aatrox,Sylas,Vladimir,Varus,Nautilus,1
ESPORTSTMNT02/1281613,LLA,Furious Gaming,Pixel Esports Club,Renekton,JarvanIV,Zoe,MissFortune,Nautilus,Kennen,Gragas,Yasuo,Varus,Thresh,0
ESPORTSTMNT05/1440156,LEC,SK Gaming,Excel Esports,Gangplank,Kindred,Leblanc,Varus,Thresh,Sett,Sejuani,Corki,Ezreal,Rakan,1
ESPORTSTMNT02/1333768,LCK,SeolHaeOne Prince,Griffin,Mordekaiser,Trundle,Irelia,Kaisa,Nautilus,Rumble,JarvanIV,Sylas,MissFortune,Alistar,0
ESPORTSTMNT01/1390259,BRCC,unknown team,unknown team,Malphite,Trundle,Syndra,MissFortune,Nautilus,Rumble,Graves,Cassiopeia,Aphelios,Braum,1
ESPORTSTMNT03/1341572,LCK,DAMWON Gaming,SANDBOX Gaming,Sett,Sejuani,Corki,Ezreal,Taric,Aatrox,Trundle,Leblanc,MissFortune,Rakan,0
ESPORTSTMNT01/1292353,BRCC,Falkol,Intergalaxy Tigers Gaming,Mordekaiser,LeeSin,Syndra,Aphelios,Leona,Sett,RekSai,Cassiopeia,Xayah,Rakan,1
6627-8537,LPL,EDward Gaming,FunPlus Phoenix,Camille,Nidalee,TwistedFate,Kaisa,Sett,Renekton,Kindred,Karma,Ashe,Nautilus,0
ESPORTSTMNT02/1384813,LCK,Gen.G,SeolHaeOne Prince,Karma,LeeSin,TwistedFate,Ezreal,TahmKench,Renekton,Trundle,Zoe,Aphelios,Nautilus,1
ESPORTSTMNT02/1385065,LCS,Immortals,Golden Guardians,Malphite,Trundle,Orianna,Ezreal,Rakan,Mordekaiser,Volibear,TwistedFate,Aphelios,Thresh,1
ESPORTSTMNT06/1190697,TRA,Beşiktaş Academy,Team AURORA Academy,Rumble,Trundle,Camille,Senna,Zilean,Aatrox,Gragas,Zoe,Jinx,TahmKench,0
6124-7708,LPL,Team WE,eStar,Sett,Trundle,AurelionSol,Varus,Braum,Renekton,Olaf,Rumble,Aphelios,Nautilus,1
6214-7872,LPL,LNG Esports,Royal Never Give Up,Ornn,Graves,Azir,Aphelios,Thresh,MonkeyKing,Olaf,TwistedFate,Ezreal,Nautilus,1
6318-8019,LDL,Victorious Gaming,EDG Youth Team,Mordekaiser,LeeSin,Zoe,Kalista,Taric,Aatrox,Elise,Qiyana,Ashe,Nautilus,0
ESPORTSTMNT02/1334140,CK,Element Mystic,Team Dynamics,Akali,Trundle,Yasuo,Ezreal,Yuumi,Aatrox,JarvanIV,Zoe,Aphelios,Karma,0
ESPORTSTMNT02/1401302,LCS.A,Immortals Academy,100 Thieves Academy,Mordekaiser,Volibear,TwistedFate,Jhin,Pantheon,Sett,Trundle,Orianna,Ashe,TahmKench,1
ESPORTSTMNT04/1220835,TCL,Beşiktaş Esports,Team AURORA,Fiora,JarvanIV,Diana,Ezreal,Bard,Poppy,Olaf,Syndra,Aphelios,Lulu,1
ESPORTSTMNT03/1352202,PCS,Machi Esports,Talon Esports,Aatrox,Trundle,Azir,Aphelios,Nautilus,Ornn,LeeSin,Corki,Kalista,Taric,1
ESPORTSTMNT06/1170706,TCL,Royal Youth,Beşiktaş Esports,Lucian,Karthus,Syndra,Tristana,Nautilus,Vladimir,Olaf,Zed,Aphelios,Thresh,0
ESPORTSTMNT02/1414465,BRCC,Havan Liberty Gaming,RED Canids,Aatrox,Graves,Galio,Sona,Lux,Gangplank,Sett,Syndra,Ezreal,Yuumi,1
6506-8695,LDL,Legend Esport Gaming,Rogue Warriors Shark,Rumble,Karthus,Zed,Caitlyn,Morgana,Volibear,Olaf,Fizz,Ashe,Nautilus,1
6313-8003,LDL,LGD Gaming Young Team,Oh My Dream,Ornn,Kindred,Karma,Aphelios,Nautilus,MonkeyKing,Trundle,Zoe,Ezreal,Braum,0
ESPORTSTMNT02/1393896,OCS,ORDER Academy,Pentanet.GG Rise,MonkeyKing,Olaf,Karma,MissFortune,Sett,Ornn,Graves,Corki,Aphelios,Rakan,0
6246-8120,LPL,Vici Gaming,LNG Esports,Renekton,Volibear,Leblanc,Aphelios,Leona,Mordekaiser,JarvanIV,Zoe,Kalista,Thresh,1
6524-8757,LDL,FunPlus Phoenix Blaze,Joy Dream,Darius,LeeSin,Rumble,Kalista,Leona,Yorick,RekSai,Sylas,Aphelios,Thresh,1
ESPORTSTMNT05/1390196,LEC,Rogue,Misfits Gaming,Irelia,Gragas,Qiyana,Aphelios,Braum,Gangplank,JarvanIV,Leblanc,Senna,Nautilus,1
ESPORTSTMNT02/1271500,VCS,Lowkey Esports.Vietnam,FTV Esports,Aatrox,Olaf,Ryze,Aphelios,Braum,Camille,Elise,Irelia,Kaisa,Leona,1
6251-8152,LPL,Royal Never Give Up,Team WE,Renekton,Nidalee,Azir,Senna,Sett,Ornn,Graves,Syndra,Ezreal,Gragas,0
6539-8798,LDL,Legend Esport Gaming,EDG Youth Team,Rumble,Volibear,Zed,Ezreal,Lux,Ryze,Graves,TwistedFate,Ashe,Bard,1
6225-7953,LPL,EDward Gaming,Suning,Ornn,JarvanIV,Galio,Ezreal,Nautilus,Sylas,RekSai,Syndra,Aphelios,Thresh,1
ESPORTSTMNT05/1400560,TRA,İstanbul Wildcats Academy,Team AURORA Academy,Aatrox,Gragas,Yasuo,Aphelios,Braum,Sett,Elise,Zoe,MissFortune,Zilean,1
6344-8116,LDL,All Combo,Royal Club,MonkeyKing,Ekko,Renekton,Xayah,Nautilus,Jax,JarvanIV,Zoe,Kaisa,Sett,1
ESPORTSTMNT03/1443250,VCS,EVOS Esports,GAM Esports,Jayce,Nidalee,Vladimir,Aphelios,Sett,Malphite,LeeSin,Ryze,Caitlyn,Thresh,1
ESPORTSTMNT02/1334892,LCK,Gen.G,Hanwha Life Esports,Ornn,JarvanIV,Zoe,MissFortune,Rakan,Kayle,RekSai,Leblanc,Varus,Braum,0
ESPORTSTMNT04/1130210,LEC,SK Gaming,Fnatic,Gangplank,Taliyah,Pantheon,MissFortune,Braum,Rengar,Elise,Ornn,Senna,Nautilus,0
ESPORTSTMNT04/1220596,TRA,5 Ronin Academy,İstanbul Wildcats Academy,Ornn,Taliyah,Syndra,MissFortune,Rakan,Sylas,Graves,Orianna,Aphelios,Nautilus,0
