gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
6630-8562,LPL,Oh My God,Suning,Camille,LeeSin,TwistedFate,Ezreal,Bard,MonkeyKing,Trundle,Galio,Ashe,Nautilus,0
ESPORTSTMNT01/1434988,CBLOL,KaBuM! e-Sports,Prodigy Esports,Malphite,Nocturne,Syndra,Kalista,Taric,Jayce,Trundle,Sylas,MissFortune,Thresh,1
6540-8804,LDL,Suning-S,Shu Dai Xiong Gaming,Jayce,Taliyah,Pantheon,Caitlyn,Blitzcrank,MonkeyKing,Ekko,Syndra,Ashe,Karma,0
6258-8209,LPL,Rogue Warriors,EDward Gaming,MonkeyKing,LeeSin,Zoe,Lucian,Thresh,Ornn,Volibear,Syndra,Aphelios,Nautilus,0
6547-8818,LDL,Victorious Gaming,Vici Gaming Potential,Camille,Nidalee,Galio,Aphelios,Thresh,Gangplank,Olaf,Zoe,Ezreal,Bard,0
ESPORTSTMNT02/1394933,LLA,Pixel Esports Club,All Knights,Ornn,LeeSin,Syndra,Aphelios,Lulu,Aatrox,Pantheon,Ekko,Ezreal,Bard,0
ESPORTSTMNT01/1403735,LCS.A,100 Thieves Academy,Evil Geniuses Academy,Urgot,Trundle,Azir,Kalista,Taric,Ornn,LeeSin,Zoe,Aphelios,Morgana,1
ESPORTSTMNT02/1324713,LCK,KT Rolster,T1,Kennen,JarvanIV,Azir,MissFortune,Taric,Sett,Olaf,Kassadin,Kaisa,Alistar,1
ESPORTSTMNT06/1230042,EM,LDLC OL,K1ck Neosurf,Chogath,RekSai,Zoe,MissFortune,Braum,Maokai,LeeSin,Leblanc,Aphelios,Morgana,1
ESPORTSTMNT03/1442820,PCS,Machi Esports,J Team,Renekton,Graves,Azir,Ashe,Nautilus,MonkeyKing,Lillia,Leblanc,Senna,Leona,1
ESPORTSTMNT05/1430366,TRA,İstanbul Wildcats Academy,Galakticos Academy,Sett,Karthus,Irelia,Ezreal,Yuumi,Aatrox,Sejuani,Mordekaiser,Varus,Thresh,1
ESPORTSTMNT02/1323775,VCS,CERBERUS Esports,EVOS Esports,Ornn,JarvanIV,Azir,MissFortune,Sett,Aatrox,Trundle,Corki,Aphelios,Braum,1
ESPORTSTMNT03/1334730,LJL,Burning Core,Sengoku Gaming,Sett,LeeSin,Sylas,Senna,Shen,Gnar,Pantheon,Leblanc,Aphelios,Thresh,0
5990-7394,LPL,Suning,LGD Gaming,Kennen,JarvanIV,Zoe,Aphelios,Thresh,Sett,LeeSin,Lissandra,Kalista,Nautilus,1
ESPORTSTMNT01/1310267,LFL,GameWard,Vitality.Bee,Sett,Gragas,Veigar,Ezreal,Karma,Aatrox,JarvanIV,Azir,Varus,TahmKench,1
6333-8079,LDL,eStar Young,Oh My Dream,MonkeyKing,Nidalee,Sett,Xayah,Leona,Mordekaiser,LeeSin,Akali,Aphelios,Nautilus,1
6127-7752,LPL,EDward Gaming,FunPlus Phoenix,Renekton,Sejuani,Sylas,Kalista,Sett,Aatrox,LeeSin,Ryze,Varus,Thresh,1
6154-7716,LDL,All Combo,Team WE Academy,Karma,LeeSin,Galio,MissFortune,Leona,Aatrox,Trundle,Corki,Ezreal,Yuumi,0
ESPORTSTMNT01/1291812,LCS,100 Thieves,Cloud9,Aatrox,JarvanIV,Leblanc,MissFortune,Leona,Camille,LeeSin,Morgana,Senna,Nautilus,0
ESPORTSTMNT01/1404251,LCS,Cloud9,100 Thieves,Gangplank,Olaf,Galio,Ezreal,Yuumi,Ornn,Kindred,Azir,Aphelios,Nautilus,1
ESPORTSTMNT01/1321604,PCS,Talon Esports,Resurgence,Ornn,RekSai,Azir,MissFortune,Volibear,Renekton,Trundle,Kassadin,Ezreal,Yuumi,1
ESPORTSTMNT02/1401853,PCS,Nova Esports,Hong Kong Attitude,Karma,Sett,Syndra,Ezreal,Leona,Camille,Volibear,Galio,Aphelios,Thresh,1
6419-8391,LDL,V5 87,Victorious Gaming,Jayce,Volibear,TwistedFate,Ezreal,TahmKench,Vladimir,Kindred,Leblanc,Aphelios,Thresh,1
6439-8459,LDL,LGD Gaming Young Team,EDG Youth Team,Ornn,Graves,Galio,Varus,Nautilus,Renekton,Nidalee,Sylas,Jhin,Leona,0
